index,file,obj_id,class,xmax,xmin,ymax,ymin
1,2010_005054,1,sofa,427,318,111,42
2,2010_005054,2,sofa,98,1,111,70
5,2011_002435,0,sofa,500,23,375,56
16,2011_000222,0,bird,343,145,366,61
17,2008_005821,0,bird,438,1,333,1
19,2007_002120,0,bird,347,228,90,35
24,2011_002347,1,bird,356,15,485,343
25,2008_007788,0,bird,372,1,375,34
28,2008_007950,0,sofa,297,108,354,128
32,2011_000550,0,sofa,500,126,343,105
36,2009_002298,0,bird,471,14,266,40
37,2010_003419,0,bird,500,1,334,9
38,2009_001961,1,sofa,500,377,331,87
39,2010_005068,0,bird,425,13,375,89
40,2010_000110,1,person,333,63,388,1
49,2010_004404,0,aeroplane,277,67,383,125
51,2011_001114,0,aeroplane,440,79,208,123
62,2009_001746,0,sofa,500,17,375,200
63,2011_001699,0,aeroplane,449,40,253,84
64,2009_003151,0,bird,372,225,130,81
70,2008_000756,0,aeroplane,476,368,253,215
71,2008_000756,1,aeroplane,425,1,265,99
73,2008_001448,0,aeroplane,469,332,169,126
74,2008_001448,1,aeroplane,298,1,169,89
83,2010_001583,0,aeroplane,482,21,212,85
110,2008_008336,2,person,500,447,231,161
132,2009_000316,0,sofa,500,243,352,133
137,2008_008444,0,sofa,500,1,377,154
158,2009_001587,0,bird,346,176,191,91
162,2008_003920,0,person,374,129,375,90
166,2010_001024,0,aeroplane,500,2,332,101
185,2011_001464,1,sofa,499,1,330,1
189,2008_008691,4,person,256,181,375,145
192,2008_006864,0,sofa,500,1,375,245
196,2011_002179,0,sofa,483,2,375,106
209,2007_004009,0,aeroplane,274,153,255,106
210,2007_003000,0,aeroplane,278,193,164,114
213,2010_003169,0,sofa,484,1,375,34
233,2008_004054,6,sofa,500,428,267,194
234,2008_004054,7,sofa,128,1,375,227
235,2008_004054,8,sofa,412,219,331,224
244,2011_002186,2,sofa,480,1,335,1
261,2008_004726,0,aeroplane,454,115,223,112
262,2008_003049,0,bird,189,140,283,203
265,2010_004821,0,bird,172,130,180,104
273,2009_000128,0,person,183,124,500,407
281,2009_002717,0,sofa,500,1,375,69
284,2009_003409,1,sofa,476,1,335,198
287,2011_002810,2,sofa,500,259,342,225
290,2008_008134,0,bird,326,104,377,67
296,2008_002419,1,person,159,1,500,31
300,2009_004414,0,aeroplane,478,14,205,98
301,2009_004414,1,aeroplane,94,33,227,147
302,2009_004414,2,aeroplane,91,1,187,149
303,2008_005362,0,aeroplane,338,200,212,136
305,2011_000975,0,aeroplane,428,1,373,46
306,2011_000975,1,aeroplane,500,374,375,100
308,2009_000672,0,sofa,500,359,184,118
309,2009_000672,3,sofa,495,12,321,135
329,2011_001538,1,person,256,181,308,148
340,2010_001636,0,sofa,500,1,375,105
369,2009_000909,0,aeroplane,339,1,332,1
380,2007_001763,2,sofa,500,1,375,48
391,2008_004646,0,aeroplane,500,96,333,1
392,2008_004646,1,aeroplane,268,1,134,48
393,2008_004646,2,aeroplane,369,127,52,1
394,2008_004646,3,aeroplane,500,386,153,116
395,2008_004646,4,aeroplane,156,1,309,124
396,2008_004646,5,aeroplane,358,245,80,52
404,2008_004646,13,aeroplane,119,7,63,19
405,2010_000299,0,bird,277,200,244,205
412,2008_002551,0,aeroplane,500,1,375,174
413,2009_004548,0,aeroplane,431,65,250,158
415,2008_006737,0,sofa,451,166,356,167
416,2008_006737,1,sofa,110,1,375,219
417,2008_006737,2,sofa,155,25,243,165
418,2008_006737,3,sofa,294,161,214,159
419,2008_006737,4,sofa,498,379,242,157
436,2009_002893,0,sofa,471,1,375,1
445,2009_002663,5,sofa,500,402,201,114
450,2009_000074,1,person,334,143,224,25
455,2008_003673,0,aeroplane,497,27,197,64
456,2008_003673,4,aeroplane,500,407,169,150
465,2009_004560,0,sofa,500,1,375,1
471,2008_000408,4,person,224,179,170,101
484,2008_002948,0,sofa,398,89,375,58
504,2010_001434,0,sofa,398,39,374,245
509,2007_006232,0,aeroplane,482,86,282,145
511,2011_002555,3,person,359,223,334,49
517,2008_002784,0,bird,244,113,422,172
519,2011_001712,0,bird,260,46,500,40
522,2008_000805,0,aeroplane,481,44,307,16
523,2010_004570,0,bird,242,166,199,115
540,2009_001801,1,bird,325,222,186,51
